GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment1,com.ds.Assignement1.Assignement1.Model,SensorData,182,3,30,0,6,1,27,1,12,1
Assignment1,com.ds.Assignement1.Assignement1.Model,Sensor,249,28,46,0,5,4,36,4,13,4
Assignment1,com.ds.Assignement1.Assignement1.Model,Status,182,3,30,0,6,1,27,1,12,1
Assignment1,com.ds.Assignement1.Assignement1.Model,Role,259,28,46,0,10,4,41,4,18,4
Assignment1,com.ds.Assignement1.Assignement1.Model,Device.DeviceBuilder,47,51,0,0,0,1,2,8,2,8
Assignment1,com.ds.Assignement1.Assignement1.Model,Sensor.SensorBuilder,42,32,0,0,0,1,3,5,3,5
Assignment1,com.ds.Assignement1.Assignement1.Model,Device,335,34,62,0,7,4,48,4,17,4
Assignment1,com.ds.Assignement1.Assignement1.Model,Person,407,40,72,0,10,4,57,4,21,4
Assignment1,com.ds.Assignement1.Assignement1.Model,SensorData.SensorDataBuilder,50,0,0,0,1,0,6,0,6,0
Assignment1,com.ds.Assignement1.Assignement1.Model,Person.PersonBuilder,63,60,0,0,0,1,3,9,3,9
Assignment1,com.ds.Assignement1.Assignement1.Model,Status.StatusBuilder,50,0,0,0,1,0,6,0,6,0
Assignment1,com.ds.Assignement1.Assignement1.Model,Role.RoleBuilder,37,37,0,0,0,1,2,6,2,6
Assignment1,com.ds.Assignement1.Assignement1.Dto,PersonRegisterDTO,298,0,54,0,7,0,44,0,17,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,PersonResponseDTO.PersonResponseDTOBuilder,123,0,0,0,1,0,12,0,12,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,AddPersonDTO,384,0,70,0,10,0,56,0,21,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,AddSensorData.AddSensorDataBuilder,50,0,0,0,1,0,6,0,6,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,UpdateDTO,169,0,30,0,4,0,26,0,11,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,AuthenticationRequest,135,0,22,0,5,0,21,0,10,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,ProgramStartTimeAndBaseLine.ProgramStartTimeAndBaseLineBuilder,38,0,0,0,1,0,5,0,5,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,RPCResponse,132,0,22,0,4,0,20,0,9,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,AddSensorData,182,0,30,0,6,0,27,0,12,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,AddSensorDTO,169,0,30,0,4,0,26,0,11,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,RoleDTO,126,0,22,0,3,0,20,0,9,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,AddDeviceDTO,298,0,54,0,8,0,44,0,17,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,DeviceCheckedDTO,132,0,22,0,4,0,20,0,9,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,UpdateProfileDTO,384,0,70,0,9,0,56,0,21,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,AuthenticationResponse,135,0,22,0,5,0,21,0,10,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,ProgramStartTimeAndBaseLine,139,0,22,0,6,0,22,0,11,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,PersonResponseDTO,444,0,72,0,11,0,60,0,24,0
Assignment1,com.ds.Assignement1.Assignement1.Dto,UpdateDevicesDTO,126,0,22,0,4,0,20,0,9,0
Assignment1,com.ds.Assignement1.Assignement1.Enums,UserType,0,15,0,0,0,3,0,1,0,1
Assignment1,com.ds.Assignement1.Assignement1,Assignement1Application,5,212,0,0,2,77,1,3,1,3
Assignment1,com.ds.Assignement1.Assignement1.Config,WebSoketConfig,0,31,0,0,0,5,0,3,0,3
Assignment1,com.ds.Assignement1.Assignement1.Config,SwaggerConfig,0,17,0,0,0,5,0,2,0,2
Assignment1,com.ds.Assignement1.Assignement1.Config,WebConfig,0,15,0,0,0,3,0,2,0,2
Assignment1,com.ds.Assignement1.Assignement1.Config,RPCConfig,0,7,0,0,0,2,0,2,0,2
Assignment1,com.ds.Assignement1.Assignement1.Controller,RoleController,54,3,2,0,9,1,5,1,4,1
Assignment1,com.ds.Assignement1.Assignement1.Controller,PeopleController,61,6,0,0,12,1,9,1,9,1
Assignment1,com.ds.Assignement1.Assignement1.Controller,DeviceController,26,6,0,0,4,1,4,1,4,1
Assignment1,com.ds.Assignement1.Assignement1.Controller,SernsorController,46,6,0,0,8,1,6,1,6,1
